Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Daily Temperatures,daily-temperatures,739,"Given an array of integers temperatures represents the daily temperatures, return an array answer such that answer[i] is the number of days you have to wait after the ith day to get a warmer temperature. If there is no future day for which this is possible, keep answer[i] == 0 instead. ","Array,Stack,Monotonic Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDU0",Medium,67.0,559365,374997,,6760,155,"If the temperature is say, 70 today, then in the future a warmer temperature must be either 71, 72, 73, ..., 99, or 100.  We could remember when all of them occur next.","496,937","Next Greater Element I,Online Stock Span"
Delete and Earn,delete-and-earn,740,You are given an integer array nums. You want to maximize the number of points you get by performing the following operation any number of times: Return the maximum number of points you can earn by applying the above operation some number of times. ,"Array,Hash Table,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEz",Medium,57.3,311800,178651,,4623,258,"If you take a number, you might as well take them all.  Keep track of what the value is of the subset of the input with maximum M when you either take or don't take M.",198,House Robber
Cherry Pickup,cherry-pickup,741,"You are given an n x n grid representing a field of cherries, each cell is one of three possible integers. Return the maximum number of cherries you can collect by following the rules below: ","Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",Hard,36.2,144841,52406,,2555,120,,"64,174,2189","Minimum Path Sum,Dungeon Game,Maximum Path Quality of a Graph"
Closest Leaf in a Binary Tree,closest-leaf-in-a-binary-tree,743,,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Medium,45.6,82896,37835,,753,147,"Convert the tree to a general graph, and do a breadth-first search.  Alternatively, find the closest leaf for every node on the path from root to target.",,
Network Delay Time,network-delay-time,744,"You are given a network of n nodes, labeled from 1 to n. You are also given times, a list of travel times as directed edges times[i] = (ui, vi, wi), where ui is the source node, vi is the target node, and wi is the time it takes for a signal to travel from source to target. We will send a signal from a given node k. Return the time it takes for all the n nodes to receive the signal. If it is impossible for all the n nodes to receive the signal, return -1. ","Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDc2",Medium,48.4,479952,232392,,3920,275,"We visit each node at some time, and if that time is better than the fastest time we've reached this node, we travel along outgoing edges in sorted order.  Alternatively, we could use Dijkstra's algorithm.","2151,2171","The Time When the Network Becomes Idle,Second Minimum Time to Reach Destination"
Find Smallest Letter Greater Than Target,find-smallest-letter-greater-than-target,745,"Given a characters array letters that is sorted in non-decreasing order and a character target, return the smallest character in the array that is larger than target. Note that the letters wrap around. ","Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",Easy,45.2,402960,182233,,1541,1403,Try to find whether each of 26 next letters are in the given string array.,2269,Count Elements With Strictly Smaller and Greater Elements 
Prefix and Suffix Search,prefix-and-suffix-search,746,Design a special dictionary with some words that searchs the words in it by a prefix and a suffix. Implement the WordFilter class: ,"String,Design,Trie","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI3",Hard,36.5,136211,49693,,1040,329,"For a word like ""test"", consider ""#test"", ""t#test"", ""st#test"", ""est#test"", ""test#test"".  Then if we have a query like prefix = ""te"", suffix = ""t"", we can find it by searching for something we've inserted starting with ""t#te"".",211,Design Add and Search Words Data Structure
Min Cost Climbing Stairs,min-cost-climbing-stairs,747,"You are given an integer array cost where cost[i] is the cost of ith step on a staircase. Once you pay the cost, you can either climb one or two steps. You can either start from the step with index 0, or the step with index 1. Return the minimum cost to reach the top of the floor. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Easy,58.6,769739,450967,,5723,992,"Say f[i] is the final cost to climb to the top from step i.  Then f[i] = cost[i] + min(f[i+1], f[i+2]).",70,Climbing Stairs
Largest Number At Least Twice of Others,largest-number-at-least-twice-of-others,748,"You are given an integer array nums where the largest integer is unique. Determine whether the largest element in the array is at least twice as much as every other number in the array. If it is, return the index of the largest element, or return -1 otherwise. ","Array,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,45.2,342731,154812,,665,752,"Scan through the array to find the unique largest element `m`, keeping track of it's index `maxIndex`.

Scan through the array again.  If we find some `x != m` with `m < 2*x`, we should return `-1`.

Otherwise, we should return `maxIndex`.","2274,2327","Keep Multiplying Found Values by Two,Largest Number After Digit Swaps by Parity"
Shortest Completing Word,shortest-completing-word,749,"Given a string licensePlate and an array of strings words, find the shortest completing word in words. A completing word is a word that contains all the letters in licensePlate. Ignore numbers and spaces in licensePlate, and treat letters as case insensitive. If a letter appears more than once in licensePlate, then it must appear in the word the same number of times or more. For example, if licensePlate = ""aBc 12c"", then it contains letters 'a', 'b' (ignoring case), and 'c' twice. Possible completing words are ""abccdef"", ""caaacab"", and ""cbca"". Return the shortest completing word in words. It is guaranteed an answer exists. If there are multiple shortest completing words, return the first one that occurs in words. ","Array,Hash Table,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw",Easy,58.9,84073,49487,,312,851,"Count only the letters (possibly converted to lowercase) of each word.  If a word is shorter and the count of each letter is at least the count of that letter in the licensePlate, it is the best answer we've seen yet.",,
Contain Virus,contain-virus,750,"A virus is spreading rapidly, and your task is to quarantine the infected area by installing walls. The world is modeled as an m x n binary grid isInfected, where isInfected[i][j] == 0 represents uninfected cells, and isInfected[i][j] == 1 represents cells contaminated with the virus. A wall (and only one wall) can be installed between any two 4-directionally adjacent cells, on the shared boundary. Every night, the virus spreads to all neighboring cells in all four directions unless blocked by a wall. Resources are limited. Each day, you can install walls around only one region (i.e., the affected area (continuous block of infected cells) that threatens the most uninfected cells the following night). There will never be a tie. Return the number of walls used to quarantine all the infected regions. If the world will become fully infected, return the number of walls used. ","Array,Depth-First Search,Breadth-First Search,Matrix,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDU1",Hard,50.0,16339,8173,,229,367,"The implementation is long - we want to perfrom the following steps:

* Find all viral regions (connected components), additionally for each region keeping track of the frontier (neighboring uncontaminated cells), and the perimeter of the region.

* Disinfect the most viral region, adding it's perimeter to the answer.

* Spread the virus in the remaining regions outward by 1 square.",,
Number Of Corner Rectangles,number-of-corner-rectangles,751,,"Array,Math,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",Medium,67.5,52675,35574,,576,85,"For each pair of 1s in the new row (say at `new_row[i]` and `new_row[j]`), we could create more rectangles where that pair forms the base.  The number of new rectangles is the number of times some previous row had `row[i] = row[j] = 1`.",,
Student Attendance Record I,student-attendance-record-i,551,"You are given a string s representing an attendance record for a student where each character signifies whether the student was absent, late, or present on that day. The record only contains the following three characters: The student is eligible for an attendance award if they meet both of the following criteria: Return true if the student is eligible for an attendance award, or false otherwise. ",String,VG9waWNUYWdOb2RlOjEw,Easy,47.6,297556,141541,,285,16,,552,Student Attendance Record II
Student Attendance Record II,student-attendance-record-ii,552,"An attendance record for a student can be represented as a string where each character signifies whether the student was absent, late, or present on that day. The record only contains the following three characters: Any student is eligible for an attendance award if they meet both of the following criteria: Given an integer n, return the number of possible attendance records of length n that make a student eligible for an attendance award. The answer may be very large, so return it modulo 109 + 7. ",Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Hard,40.5,113522,45966,,1159,196,,551,Student Attendance Record I
Optimal Division,optimal-division,553,"You are given an integer array nums. The adjacent integers in nums will perform the float division. However, you can add any number of parenthesis at any position to change the priority of operations. You want to add these parentheses such the value of the expression after the evaluation is maximum. Return the corresponding expression that has the maximum value in string format. Note: your expression should not contain redundant parenthesis. ","Array,Math,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Medium,59.0,53447,31520,,265,1380,,,
Brick Wall,brick-wall,554,"There is a rectangular brick wall in front of you with n rows of bricks. The ith row has some number of bricks each of the same height (i.e., one unit) but they can be of different widths. The total width of each row is the same. Draw a vertical line from the top to the bottom and cross the least bricks. If your line goes through the edge of a brick, then the brick is not considered as crossed. You cannot draw a line just along one of the two vertical edges of the wall, in which case the line will obviously cross no bricks. Given the 2D array wall that contains the information about the wall, return the minimum number of crossed bricks after drawing such a vertical line. ","Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Medium,52.6,189678,99768,,1789,101,,2322,Number of Ways to Build Sturdy Brick Wall
Split Concatenated Strings,split-concatenated-strings,555,,"Array,String,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Medium,43.2,13680,5912,,62,238,,,
Next Greater Element III,next-greater-element-iii,556,"Given a positive integer n, find the smallest integer which has exactly the same digits existing in the integer n and is greater in value than n. If no such positive integer exists, return -1. Note that the returned integer should fit in 32-bit integer, if there is a valid answer but it does not fit in 32-bit integer, return -1. ","Math,Two Pointers,String","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",Medium,33.8,285936,96588,,2171,342,,"496,503,1997","Next Greater Element I,Next Greater Element II,Next Palindrome Using Same Digits"
Reverse Words in a String III,reverse-words-in-a-string-iii,557,"Given a string s, reverse the order of characters in each word within a sentence while still preserving whitespace and initial word order. ","Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",Easy,78.5,548465,430729,,2698,160,,541,Reverse String II
Logical OR of Two Binary Grids Represented as Quad-Trees,logical-or-of-two-binary-grids-represented-as-quad-trees,773,"A Binary Matrix is a matrix in which all the elements are either 0 or 1. Given quadTree1 and quadTree2. quadTree1 represents a n * n binary matrix and quadTree2 represents another n * n binary matrix. Return a Quad-Tree representing the n * n binary matrix which is the result of logical bitwise OR of the two binary matrixes represented by quadTree1 and quadTree2. Notice that you can assign the value of a node to True or False when isLeaf is False, and both are accepted in the answer. A Quad-Tree is a tree data structure in which each internal node has exactly four children. Besides, each node has two attributes: We can construct a Quad-Tree from a two-dimensional area using the following steps: If you want to know more about the Quad-Tree, you can refer to the wiki. Quad-Tree format: The input/output represents the serialized format of a Quad-Tree using level order traversal, where null signifies a path terminator where no node exists below. It is very similar to the serialization of the binary tree. The only difference is that the node is represented as a list [isLeaf, val]. If the value of isLeaf or val is True we represent it as 1 in the list [isLeaf, val] and if the value of isLeaf or val is False we represent it as 0. ","Divide and Conquer,Tree","VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjIw",Medium,47.1,23602,11128,,127,409,,,
